date and time,portfolio value,ticker,number of shares (no fractional shares),current market value of all shares held,current day profit/loss in dollars
datetime,portfolio_value,ticker,quantity,market_value,current_day_loss_profit
09/01/2020 12:26,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:27,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:29,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:30,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:31,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:32,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:33,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:34,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:35,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:36,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:37,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:38,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:39,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:40,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:41,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:42,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:43,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:44,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:45,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:46,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:47,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:48,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:49,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:50,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:51,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:52,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:54,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:55,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:56,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:57,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:58,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 12:59,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 13:00,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 13:01,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 13:02,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 13:03,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 13:04,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 13:05,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 13:06,16797.78,"['AMCR', 'PTEN']","[17, 47]","[188.19, 180.95]","[0.17, 0.0]"
09/01/2020 13:07,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:08,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:09,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:10,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:11,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:12,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:13,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:14,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:15,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:16,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:17,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:18,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:20,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:21,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:22,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:23,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:24,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:25,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 13:26,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
